Sentence #,Word,Tag
Sentence: 349,لعدم,c
,استلامه,i
Sentence: 350,و,c
,استلام,i
,المال,c
Sentence: 351,لاستلام,i
,شهادات,c
Sentence: 352,قل,c
,لو,c
,كان,c
,البحر,c
,مدادا,c
,لكلمات,c
,ربي,c
,لنفذ,i
,البحر,c
Sentence: 353,إن,c
,هذا,c
,لرزقنا,c
,ما,c
,له,c
,من,c
,نفاذ,i
Sentence: 354,نفد,i
,السهم,c
,الرمية,c
Sentence: 356,نفد,i
,المثقب,c
,الخشبة,c
Sentence: 357,نفد,i
,فلان,c
,في,c
,الأمر,c
Sentence: 358,يا,c
,معشر,c
,الجن,c
,لو,c
,استطعتم,c
,أن,c
,تنفدوا,i
,من,c
,أقطار,c
,السماوات,c
,و,c
,الأرض,c
Sentence: 359,يتواجد,i
,فيه,c
,أعداد,c
,كثيرة,c
Sentence: 360,فلم,c
,يتسنى,i
Sentence: 361,و,c
,الذي,c
,يعتبر,i
,الأقل,c
Sentence: 362,يعتبر,i
,هذا,c
,واحدا,c
,من,c
,الأحكام,c
Sentence: 363,بعين,i
,الاعتبار,i
Sentence: 364,باعتبارهن,i
Sentence: 365,يعتبر,i
,عنصرا,c
Sentence: 366,ما,i
,اعتبرته,c
Sentence: 367,يعتبر,i
,رأيا,c
Sentence: 368,في,c
,الحسبان,c
Sentence: 369,أمعن,i
,النظر,c
,في,c
,المسألة,c
Sentence: 370,صدفة,i
Sentence: 371,منهم,c
,اتجاه,i
Sentence: 372,رفع,c
,المواطن,c
,دعوة,i
,على,c
,الجهة,c
,التي,c
,كان,c
,يعمل,c
,فيها,c
Sentence: 373,عشرون,c
,نفرا,i
Sentence: 374,خمسون,c
,نفرا,i
Sentence: 375,إن,c
,هذا,c
,البيان,c
,لم,c
,يَزد,i
,اتحاد,c
,القدم,c
Sentence: 376,الزيادة,c
,المضطردة,i
Sentence: 377,من,c
,الملفت,i
,للنظر,c
Sentence: 378,مناطة,i
Sentence: 379,أمر,c
,مستعيب,i
Sentence: 380,جرير,c
,بن,c
,عطية,c
,الخطفي,i
Sentence: 381,بلغ,c
,الأمر,c
,الحَلقوم,i
Sentence: 382,أخذ,c
,الأبناء,c
,حُصتهم,i
,من,c
,الميراث,c
Sentence: 383,اضطرد,i
,الأمر,c
Sentence: 384,كاتب,c
,في,c
,عقله,c
,لَوثة,i
Sentence: 385,أخرج,c
,الرجل,c
,ما,c
,في,c
,جُعبته,i
Sentence: 386,كما,c
,تم,i
,مناقشة,i
,المراحل,c
Sentence: 387,تعتبر,c
,كتطبيق,i
Sentence: 388,تسجيلهم,c
,كمشتركين,i
Sentence: 389,كفاعل,i
,أساس,i
Sentence: 390,عن,c
,رغبتها,c
,باستئجار,i
,موقع,c
,كمقر,i
Sentence: 391,و,c
,الذي,c
,يعمل,c
,كمسؤول,i
Sentence: 392,و,c
,ذلك,c
,كمكافأة,i
Sentence: 393,لتكون,c
,كمتنفس,i
,بديل,i
Sentence: 394,عين,c
,في,c
,منصبه,c
,كرئيس,i
Sentence: 395,و,c
,لكننا,c
,كمسلمين,i
Sentence: 396,و,c
,لكافة,i
,أسر,i
,المتوفين,i
Sentence: 397,إلى,c
,كافة,i
,الدوائر,i
,الشرعية,i
Sentence: 398,و,c
,لأسر,c
,المتوفين,c
,كافة,c
Sentence: 399,إلى,c
,الدوائر,c
,الشرعية,c
,كافة,c
Sentence: 400,برغم,i
,همومنا,c
Sentence: 401,لكن,c
,من,i
,أعمقها,c
,في,c
,القلب,c
,أثرا,c
,كانت,c
,لمسابقتي,i
,الملك,c
,الحازم,c
Sentence: 402,عبر,c
,مر,i
,التاريخ,c
Sentence: 403,,
,,
,,
Sentence: 404,وضع,c
,الباعة,c
,الغير,i
,سعوديين,c
Sentence: 405,اتخذ,c
,منها,c
,البعض,i
Sentence: 406,بعضهما,c
,البعض,i
Sentence: 407,بعضنا,c
,البعض,i
Sentence: 408,فإن,c
,من,c
,أهم,c
,مسؤوليات,c
,اتحاد,c
,الكرة,c
,تكمن,i
,في,i
,اختيار,c
,الحكم,c
Sentence: 409,لم,c
,توضح,c
,إذا,i
,كان,c
,القتيل,c
,قد,c
,تبادل,c
,النار,c
Sentence: 410,لافتا,c
,إلى,c
,الشركة,i
,نجحت,c
Sentence: 411,سوف,i
,لن,c
,تعدم,c
Sentence: 412,سوف,i
,لن,c
,تذهب,c
Sentence: 413,ما,c
,سمعته,c
,أبدا,i
,يتكلم,i
Sentence: 414,و,c
,دعى,i
,سموه,c
Sentence: 415,لقد,c
,تفاجئنا,i
Sentence: 416,و,c
,اختفاءها,i
Sentence: 417,عن,c
,خالص,c
,عزاءه,i
Sentence: 418,تساءل,i
Sentence: 419,المواطن,c
,العربي,c
,المتفاءل,i
Sentence: 420,المأمن,i
Sentence: 421,بناءا,i
Sentence: 422,ابتداءا,i
Sentence: 423,مساءا,i
Sentence: 424,لتضفي,c
,ثرائا,i
Sentence: 425,و,c
,لو,c
,لم,c
,يكن,c
,الفرد,c
,مهيئا,i
Sentence: 426,فإاذا,i
Sentence: 427,هو,c
,دعم,c
,قوة,c
,إيران,c
,و,c
,أضعاف,i
,قوة,c
,العرب,c
Sentence: 428,التي,c
,ألبست,c
,حلت,i
,جديدة,c
Sentence: 429,ضمن,c
,خطت,i
,الهيئة,c
Sentence: 430,يجب,c
,تشجيعه,c
,على,c
,ذلك,c
,و,c
,إتاحت,i
,الفرصة,c
,له,c
Sentence: 431,الهدف,c
,هو,c
,زلزلت,i
,النظام,c
Sentence: 432,سعود,c
,ابن,i
,محمد,c
,العامري,c
Sentence: 433,الملك,c
,عبدالله,c
,ابن,i
,عبدالعزيز,c
Sentence: 434,الأمير,c
,سلطان,c
,ابن,i
,عبدالعزيز,c
Sentence: 435,محمد,c
,ابن,i
,عبدالوهاب,c
Sentence: 436,التقى,c
,صاحب,c
,السمو,c
,الملكي,c
,الأمير,c
,سلطان,c
,بن,i
,سلمان,c
Sentence: 437,بن,i
,همام,c
Sentence: 438,هذا,c
,العالم,c
,يبدوا,i
,مخيفا,c
Sentence: 439,من,c
,ترهل,c
,و,c
,تدني,i
Sentence: 440,و,c
,إن,c
,نفذته,c
,أيدي,i
,سعودية,c
Sentence: 441,استئجار,c
,مباني,i
Sentence: 442,و,c
,يرى,c
,عبدالعزيز,c
,الشبرمي,c
,محامي,i
Sentence: 443,دعم,c
,متساوي,i
Sentence: 444,لا,c
,يمكن,c
,التفريق,c
,بينهما,c
,أن,i
,في,c
,الطول,c
,و,c
,طريقة,c
Sentence: 445,و,c
,أن,i
,لم,c
,تكن,c
Sentence: 446,و,c
,أن,i
,غلف,c
,بلباس,c
,الشفقة,c
Sentence: 447,من,c
,أومرك,i
,قال,c
,من,c
,نهاني,c
Sentence: 448,في,c
,أخطأ,i
Sentence: 449,عادات,c
,سيئة,c
,أثناء,c
,الإختبارات,i
Sentence: 450,فقال,c
,أقترح,i
,كل,c
,ما,c
,تشتهي,c
Sentence: 451,أترك,i
,مساحة,c
,للنفس,c
Sentence: 452,إتسمت,i
,بالعفوية,c
Sentence: 453,أن,c
,هذا,c
,الأعتداء,i
Sentence: 454,إتحاد,i
,العقارات,c
Sentence: 455,إمتداد,i
Sentence: 456,للإستفسار,i
Sentence: 457,للإستثمار,i
Sentence: 458,أهتم,i
,بشؤون,c
,مرؤوسيك,c
Sentence: 459,إهتمام,i
Sentence: 460,إستقبال,i
Sentence: 461,و,c
,الإنتساب,i
Sentence: 462,أسم,i
Sentence: 463,يخلد,c
,أسمه,i
Sentence: 464,إثنان,i
Sentence: 465,إثنتان,i
Sentence: 466,دعوة,c
,لإجتماع,i
,الجمعية,c
,العامة,c
,العادية,c
,السادسة,c
,عشرة,c
Sentence: 467,إنعقاد,i
Sentence: 468,إستفسار,i
Sentence: 469,إتصال,i
Sentence: 470,إختيار,i
Sentence: 471,إعتمادا,i
,على,c
Sentence: 472,اندونيسيا,i
Sentence: 473,الانفاق,i
,الإعلاني,c
Sentence: 474,الإنفاق,c
,الاعلاني,i
Sentence: 475,ايضا,i
Sentence: 476,الاشراف,i
Sentence: 477,الاحياء,i
Sentence: 478,الاول,i
Sentence: 479,الاولوية,i
Sentence: 480,يريد,c
,ان,i
,يخرجكم,c
Sentence: 481,طرد,c
,اهلها,c
,إلى,c
Sentence: 482,الى,i
,مجلس,c
,الأمن,c
Sentence: 483,امكانية,i
,إحالة,c
Sentence: 484,الا,i
,أن,c
Sentence: 485,الابادة,i
,إلى,c
Sentence: 486,الاقصائية,i
Sentence: 487,مصاري,i
Sentence: 488,بس,i
,اسكت,c
Sentence: 489,رايح,i
,جاي,i
Sentence: 490,و,c
,بالفم,c
,المليان,i
Sentence: 491,روزنامه,i
Sentence: 492,كاريزما,i
Sentence: 493,فايف,i
,ستار,i
Sentence: 494,أوبريت,i
